,Industry,Overall_growth
0,Administrative and Support Services,49.217638691322904
1,"Advertising, Market Research and Management Services",45.4651464109873
2,"Agriculture, Forestry and Fishing",34.20701220458992
3,"Agriculture, Forestry and Fishing Support Services and Hunting",60.15894955079475
4,Auxiliary Finance and Insurance Services,59.465020576131685
5,Banking and Financing,5.2703627652292955
6,"Building Cleaning, Pest Control and Other Support Services",66.31121642969984
7,Building Construction,115.71405570761553
8,Computer System Design and Related Services,63.09288537549407
10,Construction Services,89.79053960327369
11,Electricity and Gas Supply,13.550340651021953
12,"Electricity, Gas, Water and Waste Services",17.32261169941673
13,Employment and Other Administrative Services,38.582375478927204
14,Finance,18.611171015742936
15,Financial Asset Investing,41.34110787172012
16,Financial and Insurance Services,46.826978717932235
17,Forestry and Logging,74.77503628447025
18,Health and General Insurance,31.439393939393938
19,Heavy and Civil Engineering Construction,32.092783505154635
20,Information Media and Telecommunications,181.78438661710038
21,Insurance,-14.699348908464192
22,Legal and Accounting Services,-2.1912350597609564
24,Mining,
25,Non-Financial Asset Leasing,-82.84111045481394
26,Non-Residential Building Construction,861.725888324873
28,Postal and Courier Pick Up and Delivery Services,
29,"Postal, Courier, Transport Support, and Warehousing Services",307.5198505371322
30,"Professional, Scientific and Technical Services",542.0959433354798
31,"Professional, Scientific, Technical, Administrative and Support Services",93.9532820816085
32,Property Operators and Real Estate Services,-35.95176377775273
33,"Public Order, Safety and Regulatory Services",-90.15988561029508
34,"Rail, Water, Air and Other Transport",757.1569595261599
35,Real Estate Services,366.0414610069102
36,Rental and Hiring Services (except Real Estate),-4.465075154730328
37,"Rental, Hiring and Real Estate Services",883.6700336700337
38,Residential Building Construction,346.5841711781387
39,Road Transport,-50.83311705164807
40,"Scientific, Architectural and Engineering Services",40.629293762022535
41,Transport Support Services,-26.90945160833215
42,"Transport, Postal and Warehousing",293.60082003221555
43,Travel Agency and Tour Arrangement Services,-86.09352167559669
44,Veterinary and Other Professional Services,-49.04202719406675
45,Warehousing and Storage Services,-94.21063129550214
46,"Water, Sewerage, Drainage and Waste Services",297.51461988304095
