,Year,Industry,Variable_name,Amount
0,2015,Administrative and Support Services,Sales of goods and services,8760
1,2019,Administrative and Support Services,Sales of goods and services,12588
2,2014,Administrative and Support Services,Sales of goods and services,8140
3,2013,Administrative and Support Services,Sales of goods and services,8436
4,2018,Administrative and Support Services,Sales of goods and services,11682
5,2016,Administrative and Support Services,Sales of goods and services,9679
6,2017,Administrative and Support Services,Sales of goods and services,10892
7,2018,"Advertising, Market Research and Management Services",Sales of goods and services,10105
8,2016,"Advertising, Market Research and Management Services",Sales of goods and services,8576
9,2013,"Advertising, Market Research and Management Services",Sales of goods and services,7718
10,2015,"Advertising, Market Research and Management Services",Sales of goods and services,8326
11,2017,"Advertising, Market Research and Management Services",Sales of goods and services,9605
12,2019,"Advertising, Market Research and Management Services",Sales of goods and services,11227
13,2014,"Advertising, Market Research and Management Services",Sales of goods and services,8054
14,2016,"Agriculture, Forestry and Fishing",Sales of goods and services,33042
15,2015,"Agriculture, Forestry and Fishing",Sales of goods and services,35360
16,2014,"Agriculture, Forestry and Fishing",Sales of goods and services,36587
17,2018,"Agriculture, Forestry and Fishing",Sales of goods and services,41210
18,2017,"Agriculture, Forestry and Fishing",Sales of goods and services,37290
19,2013,"Agriculture, Forestry and Fishing",Sales of goods and services,32201
20,2019,"Agriculture, Forestry and Fishing",Sales of goods and services,43216
21,2013,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,2894
22,2016,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,3520
23,2018,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,4270
24,2014,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,3303
25,2017,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,3787
26,2019,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,4635
27,2015,"Agriculture, Forestry and Fishing Support Services and Hunting",Sales of goods and services,3469
28,2019,Auxiliary Finance and Insurance Services,Sales of goods and services,6200
29,2016,Auxiliary Finance and Insurance Services,Sales of goods and services,5001
30,2014,Auxiliary Finance and Insurance Services,Sales of goods and services,4127
31,2017,Auxiliary Finance and Insurance Services,Sales of goods and services,5581
32,2018,Auxiliary Finance and Insurance Services,Sales of goods and services,5686
33,2013,Auxiliary Finance and Insurance Services,Sales of goods and services,3888
34,2015,Auxiliary Finance and Insurance Services,Sales of goods and services,4567
35,2015,Banking and Financing,Sales of goods and services,3041
36,2019,Banking and Financing,Sales of goods and services,3076
37,2013,Banking and Financing,Sales of goods and services,2922
