,Year,Industry,Amount,Growth,Perc_growth
0,2013,"Advertising, Market Research and Management Services",7718,,
1,2014,"Advertising, Market Research and Management Services",8054,1982.0,32.64163372859025
2,2015,"Advertising, Market Research and Management Services",8326,272.0,3.3772038738515024
3,2016,"Advertising, Market Research and Management Services",8576,922.0,12.045989025346223
4,2017,"Advertising, Market Research and Management Services",9605,1029.0,11.998600746268655
5,2018,"Advertising, Market Research and Management Services",10105,500.0,5.205622071837585
6,2019,"Advertising, Market Research and Management Services",11227,1122.0,11.103414151410194
7,2013,Computer System Design and Related Services,6072,,
8,2014,Computer System Design and Related Services,6591,1371.0,26.264367816091955
9,2015,Computer System Design and Related Services,6882,291.0,4.415111515703232
10,2016,Computer System Design and Related Services,7369,-957.0,-11.494114821042517
11,2017,Computer System Design and Related Services,8040,671.0,9.105713122540372
12,2018,Computer System Design and Related Services,8855,815.0,10.136815920398009
13,2019,Computer System Design and Related Services,9903,1048.0,11.83512140033879
14,2013,Rental and Hiring Services (except Real Estate),2894,,
15,2014,Rental and Hiring Services (except Real Estate),3301,-9115.0,-73.41333762886599
16,2015,Rental and Hiring Services (except Real Estate),3575,274.0,8.300514995455922
17,2016,Rental and Hiring Services (except Real Estate),4078,-1559.0,-27.65655490509136
18,2017,Rental and Hiring Services (except Real Estate),4377,299.0,7.332025502697401
19,2018,Rental and Hiring Services (except Real Estate),4821,444.0,10.143934201507882
20,2019,Rental and Hiring Services (except Real Estate),5321,500.0,10.371292263015972
